Distance,3min,3min_sim,6min,6min_sim,10min,10min_sim,15min,15min_sim,50min_sim,100min_sim,200min_sim,
9.15450e+01,1.74886e+01,1.73175e+01,1.78439e+01,1.80385e+01,1.84629e+01,1.84125e+01,1.86501e+01,1.86282e+01,1.89864e+01,1.90407e+01,1.90112e+01,
9.22250e+01,1.73074e+01,1.72492e+01,1.77923e+01,1.79881e+01,1.84367e+01,1.83781e+01,1.86321e+01,1.86029e+01,1.89763e+01,1.90351e+01,1.90082e+01,
9.27350e+01,1.72182e+01,1.71998e+01,1.77491e+01,1.79498e+01,1.84142e+01,1.83519e+01,1.86145e+01,1.85837e+01,1.89687e+01,1.90308e+01,1.90060e+01,
9.32003e+01,1.71645e+01,1.71561e+01,1.77055e+01,1.79145e+01,1.83903e+01,1.83277e+01,1.85978e+01,1.85660e+01,1.89617e+01,1.90270e+01,1.90039e+01,
9.38550e+01,1.71350e+01,1.70974e+01,1.75791e+01,1.78644e+01,1.83543e+01,1.82933e+01,1.85732e+01,1.85407e+01,1.89517e+01,1.90214e+01,1.90010e+01,
9.45350e+01,1.71021e+01,1.70403e+01,1.75677e+01,1.78118e+01,1.83135e+01,1.82570e+01,1.85461e+01,1.85141e+01,1.89412e+01,1.90156e+01,1.89979e+01,
9.52314e+01,1.70656e+01,1.69863e+01,1.75564e+01,1.77574e+01,1.82672e+01,1.82192e+01,1.85164e+01,1.84865e+01,1.89304e+01,1.90096e+01,1.89947e+01,
9.59950e+01,1.70072e+01,1.69326e+01,1.75438e+01,1.76973e+01,1.82629e+01,1.81772e+01,1.84813e+01,1.84557e+01,1.89183e+01,1.90029e+01,1.89912e+01,
9.66750e+01,1.66980e+01,1.68899e+01,1.75322e+01,1.76434e+01,1.82607e+01,1.81393e+01,1.84533e+01,1.84279e+01,1.89074e+01,1.89969e+01,1.89880e+01,
9.73550e+01,1.70922e+01,1.68520e+01,1.75202e+01,1.75893e+01,1.82585e+01,1.81008e+01,1.84310e+01,1.83998e+01,1.88964e+01,1.89908e+01,1.89847e+01,
9.78978e+01,1.67826e+01,1.68250e+01,1.74972e+01,1.75460e+01,1.82543e+01,1.80697e+01,1.84123e+01,1.83770e+01,1.88875e+01,1.89859e+01,1.89821e+01,
9.84750e+01,1.69209e+01,1.67993e+01,1.74568e+01,1.75001e+01,1.82106e+01,1.80364e+01,1.83916e+01,1.83525e+01,1.88780e+01,1.89806e+01,1.89793e+01,
9.91550e+01,1.70222e+01,1.67729e+01,1.74038e+01,1.74461e+01,1.81527e+01,1.79966e+01,1.83662e+01,1.83233e+01,1.88667e+01,1.89743e+01,1.89760e+01,
9.98350e+01,1.70386e+01,1.67502e+01,1.73388e+01,1.73924e+01,1.80860e+01,1.79564e+01,1.83417e+01,1.82938e+01,1.88552e+01,1.89680e+01,1.89727e+01,
1.00345e+02,1.70468e+01,1.67353e+01,1.72462e+01,1.73524e+01,1.80282e+01,1.79260e+01,1.83224e+01,1.82714e+01,1.88465e+01,1.89632e+01,1.89701e+01,
1.00810e+02,1.70541e+01,1.67232e+01,1.71402e+01,1.73163e+01,1.79766e+01,1.78981e+01,1.83039e+01,1.82508e+01,1.88385e+01,1.89588e+01,1.89678e+01,
